m_sip1991_id,m_sip1991_sample,m_sip1991_sample_1,m_sip1991_sample_2,m_sip1991_sample_mn,m_sip1991_sample_md,m_sip1991_fid_1,m_sip1991_fid_2,m_sip1991_Y1_pystacked_1,m_sip1991_Y1_pystacked_2,m_sip1991_Y1_pystacked_L1_1,m_sip1991_Y1_pystacked_L1_2,m_sip1991_Y1_pystacked_L2_1,m_sip1991_Y1_pystacked_L2_2,m_sip1991_Y1_pystacked_L3_1,m_sip1991_Y1_pystacked_L3_2,m_sip1991_D1_pystacked_1,m_sip1991_D1_pystacked_2,m_sip1991_D1_pystacked_L1_1,m_sip1991_D1_pystacked_L1_2,m_sip1991_D1_pystacked_L2_1,m_sip1991_D1_pystacked_L2_2,m_sip1991_D1_pystacked_L3_1,m_sip1991_D1_pystacked_L3_2
11,1,1,1,1,1,1,2,3084.510009765625,5986.1494140625,2576.6005859375,3270.02587890625,3960.33056640625,3523.394775390625,4836.40234375,6768.3642578125,.1890057772397995,.1877659261226654,.2381473928689957,.2060358673334122,.2401675879955292,.2125375866889954,.1673821210861206,.1752653419971466
12,1,1,1,1,1,2,2,1271.833374023438,276.7831115722656,1678.974975585938,1777.578125,1834.5517578125,1883.220825195313,1058.032470703125,-155.4300384521484,.2802836000919342,.361203670501709,.3934638202190399,.3895741999149323,.3945344686508179,.3880114853382111,.2277006357908249,.34623983502388
13,1,1,1,1,1,2,1,-6210.67578125,-15865.6689453125,-18424.18359375,-16559.07421875,-18041.509765625,-14910.1015625,202.96630859375,341.0054016113281,.1296429634094238,.1691280007362366,.1843479722738266,.2297143042087555,.1941946595907211,.2436426132917404,.1015108749270439,.1273096203804016
14,1,1,1,1,1,2,1,-1323.873046875,-2219.583251953125,-4962.98046875,-2335.479248046875,-4783.3515625,-1637.78271484375,587.1202392578125,489.2102661132813,.2207946181297302,.1738801300525665,.2341449856758118,.2496542185544968,.2296147495508194,.2462739944458008,.2159479558467865,.1332519352436066
15,1,1,1,1,1,2,2,-5532.7978515625,-6997.841796875,-5646.4326171875,-5230.8828125,-5589.779296875,-5204.0185546875,-5473.12548828125,-7506.70751953125,.2170004695653915,.2338607013225555,.2738611996173859,.2568765878677368,.2752508521080017,.2601517140865326,.1903352439403534,.219988077878952
16,1,1,1,1,1,2,2,-100.7109909057617,406.8915710449219,747.0633544921875,1831.557861328125,587.7645263671875,1613.262329101563,-545.900146484375,-3.397345542907715,.0960871651768684,.1328878402709961,.1437475979328156,.150413766503334,.1489206850528717,.1630970388650894,.072569377720356,.1184371188282967
17,1,1,1,1,1,2,1,1757.806884765625,-3865.03564453125,-5325.2255859375,-4179.916015625,-5043.60498046875,-3086.699951171875,5477.2978515625,3494.5400390625,.6221970319747925,.7181089520454407,.6856510639190674,.7016265988349915,.6822502017021179,.6952459812164307,.5938816070556641,.7309399247169495
18,1,1,1,1,1,1,2,12355.400390625,12925.8876953125,13392.185546875,16724.599609375,12471.0537109375,16481.75390625,9484.576171875,11831.8984375,.5213248133659363,.4130727648735046,.3736362755298615,.3637808263301849,.3704933822154999,.3577425181865692,.5850741267204285,.4424107670783997
19,1,1,1,1,1,1,2,-639.7708129882813,-430.4750061035156,-1045.719848632813,-2564.863037109375,-1236.465576171875,-2623.509765625,643.0249633789063,184.206298828125,.0575038902461529,.0526969209313393,.106630764901638,.0897040069103241,.1135214269161224,.1078916117548943,.0338279381394386,.0254617966711521
20,1,1,1,1,1,1,2,-3972.261962890625,-1278.295043945313,-5446.76904296875,-7535.1240234375,-3378.688232421875,-7017.42138671875,624.8367309570313,523.6058959960938,.2479525655508041,.2424395531415939,.3371215164661407,.3235742449760437,.3418136835098267,.3351871371269226,.2082819193601608,.1935105472803116
21,1,1,1,1,1,2,2,-3676.412353515625,-1705.680541992188,-8565.33984375,-6681.40966796875,-8504.5966796875,-6665.46044921875,-1109.104858398438,-272.7228698730469,.1454277038574219,.1257699429988861,.1497059464454651,.1634192615747452,.1605881303548813,.1829977035522461,.1402832567691803,.0976519882678986
22,1,1,1,1,1,1,2,59462.7734375,56038.40234375,59397.54296875,61169.265625,59269.03515625,61116.2265625,61921.24609375,54560.765625,.599524199962616,.6129302978515625,.5179949402809143,.5133362412452698,.5146585702896118,.501503586769104,.6353929042816162,.6720672845840454
23,1,1,1,1,1,1,1,969.3693237304688,3049.712158203125,2006.581909179688,3216.207275390625,1411.206909179688,2497.3681640625,-2333.370849609375,-841.7150268554688,.5170292258262634,.4775300323963165,.5357068181037903,.5315661430358887,.5329613089561462,.5326490998268127,.5102954506874084,.446596622467041
24,1,1,1,1,1,1,2,-14943.56640625,-4513.54638671875,-19428.6875,-22302.78125,-18269.513671875,-22105.533203125,-1068.396850585938,609.5662841796875,.2832551896572113,.2460324317216873,.2963774502277374,.2736253142356873,.2978309392929077,.2800061404705048,.2770947217941284,.228464737534523
25,1,1,1,1,1,1,1,11805.3525390625,11342.7998046875,12565.4345703125,11394.6357421875,13167.7255859375,12132.490234375,9804.6005859375,10131.25390625,.2070338577032089,.2035000175237656,.2665713727474213,.2371482700109482,.2749098241329193,.2494752258062363,.1783459186553955,.1776982545852661
26,1,1,1,1,1,1,1,-1877.729614257813,-5318.6669921875,-2294.916015625,-5509.20751953125,-2245.944091796875,-5300.8095703125,-605.5647583007813,-865.2446899414063,.087250329554081,.1046888381242752,.149135485291481,.1399921625852585,.1594019532203674,.1488701403141022,.0567552670836449,.0798938348889351
27,1,1,1,1,1,2,1,-3849.3251953125,-6710.130859375,-12320.4619140625,-7072.24072265625,-12065.658203125,-5928.47998046875,599.0966186523438,1753.319091796875,.160918653011322,.184659481048584,.2254608273506165,.2307261824607849,.2312445342540741,.2414062023162842,.1294263899326324,.1528126299381256
28,1,1,1,1,1,1,2,16016.271484375,22365.1875,15359.5771484375,15201.982421875,15443.4521484375,15156.7939453125,18736.1796875,24428.115234375,.5108436346054077,.5023980140686035,.4184498190879822,.4135598838329315,.4177036881446838,.4202063083648682,.5502094030380249,.5485862493515015
29,1,1,1,1,1,2,2,-5130.9755859375,-3002.8837890625,-15458.875,-14028.8173828125,-15237.5537109375,-13626.193359375,292.48291015625,172.4690399169922,.4351067543029785,.4536298215389252,.4948498606681824,.4479000568389893,.4874606430530548,.4295598864555359,.409666508436203,.4637689292430878
30,1,1,1,1,1,1,2,75102.796875,67906.6484375,80654.109375,83588.3828125,79431.4921875,83289.6484375,60069.734375,63390.4765625,.4266507625579834,.4062693119049072,.3468999862670898,.350947231054306,.3515466153621674,.3613113164901733,.4583937227725983,.4326572716236115
31,1,1,1,1,1,2,1,3080.860595703125,4375.58740234375,5348.17724609375,4462.17041015625,5033.09716796875,3122.27197265625,1890.231567382813,2351.912353515625,.1830920279026031,.1740765273571014,.1199835985898972,.0986097007989883,.1255087107419968,.1070961281657219,.2106292992830276,.2116666287183762
32,1,1,1,1,1,1,2,-2400.96630859375,-1262.937255859375,-2852.46533203125,-3050.35693359375,-2814.502685546875,-3077.33203125,-1038.114135742188,-748.1792602539063,.2132748514413834,.2258528769016266,.2214594483375549,.2202839106321335,.223309338092804,.2250524908304214,.2090337425470352,.2270880490541458
33,1,1,1,1,1,2,2,-6807.17138671875,-3753.189697265625,-18334.341796875,-15655.3369140625,-18209.384765625,-15568.4736328125,-753.9432373046875,-325.4966125488281,.1102873161435127,.1304069459438324,.2136449068784714,.2355701178312302,.2107164859771729,.2279434204101563,.0634052604436874,.0756390392780304
34,1,1,1,1,1,2,2,2886.005615234375,2893.17333984375,5506.05029296875,4987.46826171875,5396.341796875,4871.75390625,1510.149536132813,2290.03857421875,.2373087108135223,.1936912536621094,.2286560237407684,.2333721220493317,.2227664142847061,.2244530320167542,.2430197596549988,.1753305643796921
35,1,1,1,1,1,1,1,-12128.6962890625,-14392.8291015625,-15524.6416015625,-14962.8115234375,-14811.0595703125,-14163.576171875,-1653.781005859375,-1070.840087890625,.4023378789424896,.4084180295467377,.414695531129837,.4139836132526398,.4125012457370758,.414709597826004,.3980423212051392,.4048871397972107
36,1,1,1,1,1,2,2,3113.749755859375,4833.3173828125,1497.125244140625,1472.772216796875,1496.583374023438,1401.314697265625,3962.6826171875,5801.119140625,.2942237257957458,.3259712159633636,.2605688869953156,.2872036695480347,.2638891935348511,.294337272644043,.3088001310825348,.3445121049880981
37,1,1,1,1,1,2,1,23283.640625,24186.189453125,29093.947265625,24511.236328125,29207.306640625,25047.201171875,20232.4921875,16588.982421875,.4051981270313263,.4290109574794769,.2831137478351593,.315359890460968,.2917696237564087,.3261756896972656,.459061324596405,.4867231845855713
38,1,1,1,1,1,1,1,281.7753295898438,12.78228282928467,394.7457885742188,52.42424392700195,-194.2868194580078,-704.0852661132813,-71.28795623779297,-913.7539672851563,.4592163562774658,.3759319186210632,.3850096762180328,.3962419331073761,.385522335767746,.3985863029956818,.4903633296489716,.3632180392742157
39,1,1,1,1,1,1,2,-3819.173095703125,-2569.841796875,-4322.01318359375,-4566.3388671875,-4655.0947265625,-4634.86572265625,-2344.650390625,-1994.871704101563,.1635192483663559,.1841132789850235,.2069648951292038,.2059649229049683,.2158787995576859,.2196573913097382,.1413893550634384,.1669050753116608
40,1,1,1,1,1,1,2,16082.6640625,13958.927734375,17510.0859375,18742.404296875,17699.3125,18746.248046875,12095.0927734375,12581.3369140625,.2387948036193848,.2306329905986786,.274074375629425,.2355262190103531,.275531679391861,.2449562102556229,.2232678681612015,.2243518233299255
41,1,1,1,1,1,2,2,-6375.62109375,-2530.2373046875,-19524.330078125,-16990.40234375,-19039.369140625,-16525.86328125,529.11962890625,1634.1376953125,.2379878908395767,.3544099032878876,.3029083013534546,.3076756298542023,.3059143126010895,.3147805333137512,.2071297317743301,.3773311376571655
42,1,1,1,1,1,1,2,-235.4618682861328,1609.97412109375,-1054.577026367188,-1026.457397460938,-140.0123291015625,-841.8662719726563,2392.845703125,2369.23876953125,.3449210226535797,.287502110004425,.3128373622894287,.2702583968639374,.3106444478034973,.2660849988460541,.3594081103801727,.2985516488552094
43,1,1,1,1,1,2,2,-8357.181640625,-8136.51171875,-6211.83544921875,-5236.0732421875,-6201.72314453125,-5223.1162109375,-9483.759765625,-8971.8076171875,.1882140040397644,.1669485121965408,.1885408312082291,.1941623240709305,.186747819185257,.1922009438276291,.1885851323604584,.1527711600065231
44,1,1,1,1,1,1,2,-408.6671447753906,-1189.705688476563,358.6709899902344,1810.974731445313,-828.6166381835938,1537.673950195313,-2894.630859375,-2053.8701171875,.2099341601133347,.1691433489322662,.1976686716079712,.1904640197753906,.2050759792327881,.2032351642847061,.2119874954223633,.1525778621435165
45,1,1,1,1,1,1,1,24615.205078125,20648.091796875,23213.826171875,20566.068359375,24038.60546875,21099.529296875,30057.833984375,22565.166015625,.2039606422185898,.2216112613677979,.2633199989795685,.2572238743305206,.2634132206439972,.2559424638748169,.1788328438997269,.202344223856926
46,1,1,1,1,1,2,1,-2830.086669921875,-8313.2470703125,-8821.7919921875,-8684.1337890625,-8608.8896484375,-7764.80078125,316.319091796875,355.3599548339844,.0305234510451555,.0504668690264225,.0672293305397034,.0968956127762794,.0745438933372498,.1072196364402771,.0114413825795054,.0186166279017925
47,1,1,1,1,1,1,1,54216.49609375,55922.7421875,52568.86328125,55709.64453125,52401.9375,55539.2421875,61571.26953125,60903.3984375,.5579025745391846,.5027731657028198,.5672110915184021,.5334596037864685,.56083744764328,.529849112033844,.5566622018814087,.4875778257846832
48,1,1,1,1,1,1,2,7874.7890625,6661.677734375,8817.8310546875,11767.6591796875,9607.1787109375,11893.0556640625,5136.35400390625,5191.20849609375,.3331834077835083,.2875165343284607,.28994220495224,.2633844912052155,.2921597957611084,.2670494914054871,.3505221307277679,.2993537187576294
49,1,1,1,1,1,2,2,19159.970703125,19837.94921875,23918.1640625,24546.255859375,24284.708984375,24880.865234375,16661.314453125,18482.0078125,.3025445640087128,.3208159208297729,.3079240024089813,.3013172745704651,.3165319263935089,.3224401772022247,.2975537478923798,.3234519362449646
50,1,1,1,1,1,1,2,-11040.9765625,-4047.204345703125,-14253.2783203125,-13261.4013671875,-12923.7158203125,-13017.5390625,-1116.189819335938,-1393.612426757813,.2233579903841019,.2161541432142258,.2864589691162109,.241458535194397,.2817053198814392,.2300860732793808,.1986973434686661,.2066142410039902
51,1,1,1,1,1,1,2,80987.5234375,60132.15234375,84195.015625,91737.59375,84089.140625,91782.828125,73723.125,51030.1171875,.742264986038208,.7398166656494141,.7341606616973877,.7387157678604126,.7252267003059387,.7282346487045288,.7494663000106812,.7444189190864563
52,1,1,1,1,1,1,1,108131.4921875,124671.71875,111739.7578125,124445.3515625,108493.484375,122181.1796875,100603.1484375,129962.34375,.587529182434082,.7575117945671082,.8867070078849792,.8684784770011902,.8754369020462036,.8610413670539856,.4658443033695221,.6994099020957947
53,1,1,1,1,1,1,1,-3753.753173828125,-4222.39208984375,-3035.28759765625,-4129.40869140625,-3814.393798828125,-4567.41015625,-6208.85498046875,-6395.65966796875,.2466473132371902,.213122770190239,.192670464515686,.1802708506584167,.2062248736619949,.1924316883087158,.2637319564819336,.2247348129749298
54,1,1,1,1,1,2,2,9853.4853515625,11015.7939453125,2293.717529296875,4675.04052734375,2198.80712890625,4521.087890625,13823.3232421875,12841.86328125,.2852200269699097,.2466525137424469,.2692408859729767,.2838345170021057,.2663297653198242,.2733317911624908,.2934474945068359,.2302664816379547
55,1,1,1,1,1,1,2,-10485.06640625,-3192.902099609375,-13241.6083984375,-12852.05859375,-13683.2197265625,-12973.6396484375,-2006.615356445313,-411.1665649414063,.1715296506881714,.1611611545085907,.2656545341014862,.2248483598232269,.2650019526481628,.2228261530399323,.132023349404335,.127002939581871
56,1,1,1,1,1,1,2,25659.5078125,23139.119140625,26748.5390625,29829.7109375,26965.650390625,29846.01953125,23123.54296875,21212.298828125,.3112684190273285,.2974075078964233,.2432378530502319,.2170175015926361,.2460674345493317,.2265360802412033,.3388257622718811,.3378666937351227
57,1,1,1,1,1,2,1,-855.7409057617188,-6093.3955078125,-6920.28515625,-6364.0009765625,-6743.4541015625,-5569.23681640625,2328.91455078125,231.3699951171875,.2045448273420334,.2277203798294067,.2018584311008453,.2567945718765259,.2003614902496338,.2559275031089783,.2062213867902756,.211890235543251
58,1,1,1,1,1,2,2,-5595.15185546875,-3954.229248046875,-13444.0693359375,-11182.111328125,-13382.1025390625,-11158.123046875,-1473.474365234375,-1872.67529296875,.1390359997749329,.1711707264184952,.1740196198225021,.1865931153297424,.1817639023065567,.1962011009454727,.1206242144107819,.1590469032526016
59,1,1,1,1,1,2,1,-3089.4794921875,-6648.68603515625,-8775.212890625,-6928.5546875,-8965.4638671875,-7838.009765625,-103.7475509643555,-107.42138671875,.5077086687088013,.5164257287979126,.5147475600242615,.5254065990447998,.5082385540008545,.5176257491111755,.5063530802726746,.5157523155212402
60,1,1,1,1,1,2,1,45544.69921875,68916.625,78987.8671875,70916.2578125,78899,70683.3359375,27982.791015625,22179.96875,.6123000383377075,.5387240648269653,.3414677083492279,.3552397787570953,.3434020578861237,.3581708967685699,.7368181347846985,.6400523781776428
61,1,1,1,1,1,2,2,-7154.326171875,-7562.32861328125,-3902.010986328125,-3887.73388671875,-4001.561279296875,-4079.767822265625,-8862.2041015625,-8620.5732421875,.3222602009773254,.2509584724903107,.2029978483915329,.2281370311975479,.2142217308282852,.2540574669837952,.3740722835063934,.2535866796970367
62,1,1,1,1,1,1,1,-6272.17578125,-6260.958984375,-8930.3837890625,-6618.6962890625,-8894.1533203125,-6406.17578125,2048.984619140625,2100.299072265625,.4369488954544067,.3651742935180664,.474670022726059,.4710820615291595,.4616708159446716,.46356400847435,.4265001118183136,.309956967830658
63,1,1,1,1,1,2,2,47250.51953125,39123.39453125,75093.984375,71202.125,75092.90625,71327.6875,32629.169921875,29885.05859375,.6698279976844788,.6792625188827515,.6758730411529541,.6256327033042908,.6734881997108459,.6196764707565308,.6677305698394775,.7109483480453491
64,1,1,1,1,1,1,2,-14203.7333984375,-18792.6015625,-11455.8583984375,-13283.6884765625,-11330.90625,-13257.26171875,-23587.83984375,-20379.109375,.2438554167747498,.2127016633749008,.2301454693078995,.2165839821100235,.232174813747406,.2193446308374405,.2487922459840775,.2095192223787308
65,1,1,1,1,1,1,1,-990.04541015625,-2117.279296875,-2325.682861328125,-2365.435546875,-1299.736328125,-1342.253295898438,3272.717041015625,3682.78125,.4668200314044952,.4903666079044342,.4382340013980865,.4428800344467163,.4320271909236908,.4378801882266998,.4815253019332886,.5198225378990173
66,1,1,1,1,1,1,2,12952.8974609375,12353.7578125,12119.0556640625,8149.1591796875,12110.41015625,8118.62451171875,16127.30859375,13564.6376953125,.2143103331327438,.2261732667684555,.2679990530014038,.2487259805202484,.2691439688205719,.2474445998668671,.1911347657442093,.2142929136753082
67,1,1,1,1,1,1,1,120012.984375,140870.578125,138800.21875,144646.0625,137830.46875,143728.046875,64063.9140625,52627.5703125,.3415321111679077,.4780007898807526,.3092644512653351,.3329276144504547,.3134526610374451,.3264380991458893,.3533999919891357,.5630593299865723
68,1,1,1,1,1,2,2,204.1408233642578,894.4960327148438,84.66383361816406,3540.1396484375,86.43408203125,3508.479736328125,266.8814086914063,132.5784759521484,.0423119775950909,.027593681588769,.1177109330892563,.1214744299650192,.1154590994119644,.1211721301078796,.0081453491002321,-.0237804725766182
69,1,1,1,1,1,1,2,20301.5078125,22637.4765625,21283.69921875,23477.22265625,21109.58984375,23527.177734375,17906.919921875,22395.63671875,.6090372204780579,.6620182991027832,.5653347373008728,.59856778383255,.5714584589004517,.6063950061798096,.6249199509620667,.6938321590423584
70,1,1,1,1,1,2,2,-5335.58740234375,-2969.5390625,-13082.91015625,-12195.123046875,-13133.3154296875,-12293.4326171875,-1267.259521484375,-312.6680603027344,.1525349617004395,.1812521815299988,.2086313366889954,.2246490120887756,.2106599509716034,.2251506000757217,.1260366886854172,.1572595685720444
71,1,1,1,1,1,1,1,-9940.2197265625,-11313.4013671875,-12580.9765625,-11728.125,-12574.646484375,-11825.923828125,-1813.94677734375,-1620.233764648438,.163512721657753,.1287365108728409,.1673058718442917,.1579826325178146,.1804168969392776,.1707275807857513,.1563681215047836,.1051706969738007
72,1,1,1,1,1,2,1,748.6021118164063,-4684.8916015625,-9091.76953125,-5165.826171875,-9157.927734375,-5472.765625,5916.0458984375,6555.79833984375,.3877967298030853,.3929077386856079,.3357217907905579,.3257530629634857,.3393509685993195,.3285831809043884,.4107903242111206,.4290073215961456
73,1,1,1,1,1,2,1,8163.40283203125,8119.162109375,8085.0009765625,8157.27880859375,8147.13525390625,8524.2578125,8204.57421875,7228.2783203125,.5050667524337769,.5158970952033997,.4301472902297974,.4507443308830261,.4320029616355896,.4528226852416992,.5391272306442261,.5512951016426086
74,1,1,1,1,1,2,1,32582.091796875,38960.875,42279.15234375,39426.52734375,42459.93359375,40173.37890625,27489.90625,28077.365234375,.302819550037384,.3153878450393677,.3140904605388641,.3305855691432953,.3161449730396271,.3357970416545868,.2970159649848938,.3039339780807495
75,1,1,1,1,1,2,2,21481.341796875,18593.875,23039.62890625,21881.990234375,22844.33984375,21665.45703125,20663.044921875,17646.93359375,.4316621124744415,.4244749546051025,.3674768507480621,.3728840351104736,.3637990951538086,.3568846881389618,.4623763263225555,.4588738679885864
76,1,1,1,1,1,2,1,10817.296875,10282.8916015625,9366.9716796875,10396.73828125,9391.4375,10608.505859375,11578.90234375,7622.00634765625,.4740603864192963,.5105831027030945,.4276345670223236,.4491947293281555,.4261967539787292,.4480723440647125,.4959203600883484,.5456647872924805
77,1,1,1,1,1,2,1,-4570.71435546875,-4602.322265625,-6787.341796875,-4610.27685546875,-6602.0244140625,-3763.111083984375,-3406.703857421875,-4416.39697265625,.3013748824596405,.3802202939987183,.2982945144176483,.3166766762733459,.2978956401348114,.3164868354797363,.3029136657714844,.4159881770610809
78,1,1,1,1,1,2,1,-7246.009765625,-16886.04296875,-19157.740234375,-17533.697265625,-18976.306640625,-16794.037109375,-990.8394775390625,-1748.685302734375,.1972370892763138,.1949621438980103,.1978040039539337,.231956273317337,.1967326253652573,.2314799278974533,.1972872167825699,.1744679808616638
79,1,1,1,1,1,1,1,-7695.98388671875,-11312.357421875,-10124.1025390625,-11742.9140625,-8872.3935546875,-10553.787109375,-169.4561004638672,-1249.112426757813,.3114286065101624,.3339032530784607,.320497989654541,.3332770168781281,.3181462585926056,.3313170075416565,.308589369058609,.3353546857833862
80,1,1,1,1,1,2,1,3062.173095703125,6855.33837890625,6844.15673828125,7115.68017578125,6602.3134765625,6145.333984375,1076.151489257813,770.4735717773438,.2317143827676773,.2187367677688599,.1891712546348572,.1954405903816223,.1905165463685989,.1990824639797211,.2509708106517792,.2297669649124146
81,1,1,1,1,1,1,1,-2663.755859375,-6005.95751953125,-3236.28271484375,-6192.111328125,-3234.324951171875,-5993.0849609375,-921.1812133789063,-1655.060302734375,.0401473343372345,.0734502822160721,.0911127626895905,.0770796984434128,.1022278517484665,.0899127274751663,.0139088463038206,.0642113834619522
82,1,1,1,1,1,1,2,13982.6064453125,12044.7568359375,14671.388671875,16687.90234375,15020.3134765625,16739.107421875,12293.740234375,10707.580078125,.1911356002092361,.1372935026884079,.1973828971385956,.1620908230543137,.1972924917936325,.1650972366333008,.1885333657264709,.1225463449954987
83,1,1,1,1,1,2,2,7215.30029296875,4814.10791015625,5856.923828125,4241.240234375,5938.1171875,4466.2734375,7928.62060546875,4979.087890625,.5538038015365601,.5167852640151978,.5354974269866943,.4941965341567993,.5357032418251038,.494735985994339,.5621985197067261,.5289683938026428
84,1,1,1,1,1,2,1,139202.53125,152635.609375,168298.609375,154453.96875,168102.046875,153644.765625,123923.390625,110136.0078125,.4317765235900879,.4189805090427399,.4471358060836792,.4293485581874847,.4443783164024353,.4256709516048431,.4254858791828156,.4152257740497589
85,1,1,1,1,1,1,2,-9093.173828125,-4101.2578125,-12371.849609375,-16244.1748046875,-11394,-16064.56640625,1118.963989257813,-604.2255859375,.4037711024284363,.4125093221664429,.4646247625350952,.4188538491725922,.4504514336585999,.3981085121631622,.3840415477752686,.4169437289237976
86,1,1,1,1,1,1,2,-6599.9560546875,-1987.775756835938,-8144.2685546875,-6544.8642578125,-8973.9404296875,-6739.2587890625,-1877.473388671875,-675.3822631835938,.0565302893519402,.0435926280915737,.0701254904270172,.0927264094352722,.0898401513695717,.1238082125782967,.0424517914652824,.0047875526361167
87,1,1,1,1,1,2,2,64704.87890625,59311.68359375,91304.5546875,87777.34375,91388.3046875,87818.2578125,50736.671875,51113.87109375,.5051121711730957,.5204781889915466,.4230508506298065,.4398804306983948,.4223230481147766,.4450321197509766,.5432233214378357,.5627172589302063
88,1,1,1,1,1,2,2,-631.6060791015625,306.5061950683594,-2908.558349609375,731.174072265625,-2835.900634765625,762.1118774414063,564.0828857421875,184.206298828125,.0535151548683643,.0848673582077026,.1196337640285492,.1300509572029114,.120421476662159,.1371342688798904,.0227495338767767,.0573839284479618
89,1,1,1,1,1,2,1,469.8868103027344,1587.72314453125,1567.439208984375,1640.449951171875,1456.403198242188,1210.442504882813,-106.4675140380859,355.3599548339844,.1449805945158005,.1138204485177994,.1747943013906479,.1959725618362427,.1736753135919571,.1957099437713623,.1315372139215469,.0678632184863091
90,1,1,1,1,1,2,2,-1371.903686523438,-612.26220703125,-2625.889404296875,-144.5642395019531,-2598.95947265625,-178.1589965820313,-713.4019775390625,-746.9542846679688,.1474895477294922,.1573904603719711,.1503545939922333,.1638551205396652,.1605386137962341,.1849562376737595,.1432010531425476,.1457950621843338
91,1,1,1,1,1,1,1,-247.0625915527344,-439.2616577148438,-904.6430053710938,-477.3216247558594,-719.5156860351563,-205.4813079833984,1860.731689453125,450.2992553710938,.2915704548358917,.3545962572097778,.3461523354053497,.3638448715209961,.3359821438789368,.354598730802536,.2727997303009033,.3545948565006256
92,1,1,1,1,1,1,2,5609.0048828125,6169.3818359375,5356.3056640625,6022.31884765625,6346.12548828125,6202.9013671875,6634.68603515625,6211.734375,.1140101626515388,.0909544453024864,.1927691251039505,.150716245174408,.2019210755825043,.171809121966362,.0768543928861618,.0501310303807259
